	0	3.05	1.6	-0.7	1.5708	1	1	0.2	1500
	1	3	1	-0.7	1.5708	1	0	0.3	0
	2	2.1	0.5	-0.7	1.5708	1	0	0.5	0
	3	1	0.73	-0.7	1.5708	1	0	0.3	0
	4	0.55	1.1	-0.7	1.5708	1	0	0.3	0
	5	0.55	2.3	-0.7	1.5708	1	0	0.3	0
	6	1.03	2.98	-0.7	1.58	1	0	0.3	0
	7	2.15	2.86	-0.7	1.5708	1	0	0.3	0
	8	2.93	2.25	-0.7	1.5708	1	0	0.3	0
	9	3.68	1.85	-0.7	1.5708	1	0	0.3	0
	10	4.84	1.78	-0.7	1.58	1	0	0.3	0
	11	5.83	1.8	-0.7	1.5708	1	0	0.3	0
	12	6.87	1.81	-0.7	1.5708	1	0	0.3	0
	13	7.48	1.83	-0.7	1.5708	1	0	0.3	0
	14	6.86	1.76	-0.7	1.58	1	0	0.3	0
	15	5.65	1.71	-0.7	1.5708	1	0	0.3	0
	16	4.31	1.8	-0.7	1.5708	1	0	0.3	0
